Date,AXP,BAC,BK,C,CB,COF,GS,JPM,MS,PNC,SCHW,STT,TFC,USB,WFC
2015-01-05,,,,,,,,,,,,,,,
2015-01-06,,,,,,,,,,,,,,,
2015-01-07,,,,,,,,,,,,,,,
2015-01-08,,,,,,,,,,,,,,,
2015-01-09,,,,,,,,,,,,,,,
2015-01-12,,,,,,,,,,,,,,,
2015-01-13,,,,,,,,,,,,,,,
2015-01-14,,,,,,,,,,,,,,,
2015-01-15,,,,,,,,,,,,,,,
2015-01-16,,,,,,,,,,,,,,,
2015-01-20,,,,,,,,,,,,,,,
2015-01-21,,,,,,,,,,,,,,,
2015-01-22,,,,,,,,,,,,,,,
2015-01-23,,,,,,,,,,,,,,,
2015-01-26,,,,,,,,,,,,,,,
2015-01-27,,,,,,,,,,,,,,,
2015-01-28,,,,,,,,,,,,,,,
2015-01-29,,,,,,,,,,,,,,,
2015-01-30,,,,,,,,,,,,,,,
2015-02-02,,,,,,,,,,,,,,,
2015-02-03,,,,,,,,,,,,,,,
2015-02-04,,,,,,,,,,,,,,,
2015-02-05,,,,,,,,,,,,,,,
2015-02-06,,,,,,,,,,,,,,,
2015-02-09,,,,,,,,,,,,,,,
2015-02-10,,,,,,,,,,,,,,,
2015-02-11,,,,,,,,,,,,,,,
2015-02-12,,,,,,,,,,,,,,,
2015-02-13,,,,,,,,,,,,,,,
2015-02-17,0.3016610181095739,0.34172183375812853,0.29763217528183805,0.2933553163299031,0.19771253896637034,0.22870008949585469,0.2585262699660292,0.2912172988074619,0.25389691532959996,0.25716112287567605,0.37698093020735735,0.3006328084651494,0.2669044140783075,0.2257575941836059,0.22937021597442922
2015-02-18,0.297294541076974,0.3364428944248886,0.29007364944426667,0.27950543893581187,0.19171725420179245,0.22005470391885362,0.24269303177083296,0.2792564354428027,0.24126753154861905,0.24240378192249554,0.36953806709857445,0.29919136067327606,0.2544140717323208,0.2169565142339579,0.21892801588633284
2015-02-19,0.2954790686505782,0.32606912457232895,0.2769425054081162,0.26017110777066876,0.18975006168655675,0.21309927130127823,0.23489688853835963,0.26876875457630073,0.22623303936832684,0.22806060981522022,0.35296124085158154,0.28696907495262114,0.24717315337955628,0.21357461027042648,0.20878864233913788
2015-02-20,0.292936604189759,0.32738651018238196,0.2715789880002376,0.2614589621793382,0.18591041467588365,0.21348719541741365,0.2338382117115173,0.27011621892783455,0.22476626426985474,0.22688767080253966,0.3504743357898457,0.2885648828135499,0.24604331135831606,0.2130064255158324,0.20863765070099158
2015-02-23,0.2894492707338548,0.32206967538829656,0.26944162111112263,0.25910398962954,0.18137559005957696,0.21197782620288,0.23019905710976346,0.2629497479334533,0.22315795525106608,0.22261999006125707,0.34287826887354855,0.2829660787808881,0.24235872693800095,0.21241376185003055,0.19984710668457592
