Date,AXP,BAC,BK,C,CB,COF,GS,JPM,MS,PNC,SCHW,STT,TFC,USB,WFC
2015-01-02,2437500,48951100,3891100,11137800,854600,1483200,1877700,12600000,7333800,2083400,4537600,1421300,2173500,5010500,11700900
2015-01-05,3469600,105605500,4241900,20945400,1532300,2678200,3413200,20100600,12507900,3411700,5931400,3265100,4886500,6568700,15000500
2015-01-06,4800300,144912400,7633100,31989300,1768700,2929500,3429200,29074100,16507800,4422100,9825000,3254800,5305300,8523700,20211200
2015-01-07,5665200,104603800,7113900,27890800,1570300,2434100,1896800,23843200,9957700,2249200,7966100,2158000,4953200,5073700,15714700
2015-01-08,3774200,73388500,4795300,17467200,1348100,2008200,1962500,16971100,8079600,2116700,5590200,1590100,5412800,10417600,16721600
2015-01-09,3681700,84144600,3295700,20180200,1349000,2744900,1980700,15396200,7807500,2351600,6730300,2081700,3520400,8095700,14550800
2015-01-12,3230700,92762500,2584400,22725800,1211800,2381200,2084200,15455200,9385900,2544000,4961100,1809500,2943800,4857700,16967500
2015-01-13,3537600,100845400,4868000,23201800,1614300,3944700,2745300,21644700,12447800,3591400,5789000,2266300,3788300,7298100,25080900
2015-01-14,6628400,164779800,6390700,44630800,1742400,4149400,5204700,49602300,15898600,6015400,15089600,3231500,6897600,12845300,37590100
2015-01-15,5830900,193241300,5076500,48799400,1345700,3918800,3146000,42458100,17568100,4737100,13304700,2369200,5815000,10875800,32144700
2015-01-16,6768700,149802000,6479900,32307000,1466500,4689900,5124100,29368900,27056100,4161900,15235700,2160200,4717100,9896400,23174900
2015-01-20,6364100,123402800,4903800,25561000,1393200,3296000,3606600,23477700,19400600,5253300,8201300,2194900,3965700,12682100,17691000
2015-01-21,7185700,101054200,5584300,22873300,1202800,2486600,3737000,21842400,15830500,3550200,8217100,3808500,4865200,11209400,17928300
2015-01-22,16390100,183042100,6640300,29652600,1840300,7580300,6228200,31423500,18792700,3769900,11160400,4103800,5133000,9471900,21488700
2015-01-23,7366100,103376900,7033000,18984700,1079700,4822800,3123800,15458300,10969300,2841300,5152400,4844300,3913000,8159000,17779700
2015-01-26,6632800,69969300,8192400,13817500,1181900,4297900,2736500,12577700,9899900,1860900,4435400,5508000,4113900,4607600,13429400
2015-01-27,6329500,86184200,5487300,16401200,1597200,3205600,3335600,15220500,9021500,2218500,5730400,3500600,3960700,5395500,14351600
2015-01-28,7942200,105359800,10502900,26065300,2010000,4404900,3017300,24354400,14730700,2668200,8124900,5427500,5486600,7580400,18775100
2015-01-29,7545900,76095800,7654100,19865700,1484400,4577700,2421400,20393300,11378800,3586700,8446700,2667900,4965200,6882900,16700000
2015-01-30,7210500,99844600,10535000,23729800,2187900,4937800,3037400,26943700,11693000,4301200,9151100,6286300,5468800,10416500,21754800
2015-02-02,5459300,101586700,8255800,19178200,1725900,3552000,2975300,20308900,12373400,2625700,6327000,2608700,3796300,6199500,17714500
2015-02-03,5586200,105159400,8944700,25220200,1260600,2830800,3766900,18812500,14545300,2546100,10258100,3586400,5293300,8767500,20258900
2015-02-04,6155700,83848100,5828000,19581800,1509000,3317900,2980500,14934100,10246300,3292900,6594900,2922500,3751700,9661800,14435600
2015-02-05,3966600,92264700,4753400,15481900,1383200,3303500,2434400,11293900,10524000,2571800,5507300,2024500,3926100,6625400,13281900
2015-02-06,5139700,160832300,6802900,25881500,1293900,3805300,3250900,25214000,17087400,3618700,11868600,3313500,5443700,7490900,19317000
