Feature,Type
AXP_SMA_5,Technical
AXP_SMA_10,Technical
AXP_SMA_20,Technical
AXP_SMA_50,Technical
AXP_Price_vs_SMA20,Technical
AXP_Price_vs_SMA50,Technical
AXP_Momentum_1D,Technical
AXP_Momentum_5D,Technical
AXP_Momentum_10D,Technical
AXP_Momentum_20D,Technical
AXP_Vol_5D,Technical
AXP_Vol_10D,Technical
AXP_Vol_20D,Technical
AXP_Vol_60D,Technical
AXP_RSI,Technical
AXP_MACD,Technical
AXP_MACD_Signal,Technical
AXP_MACD_Histogram,Technical
AXP_BB_Position,Technical
AXP_BB_Width,Technical
AXP_Volume_SMA_10,Technical
AXP_Volume_SMA_20,Technical
AXP_Volume_Ratio,Technical
AXP_Price_Channel,Technical
AXP_Relative_Strength,Technical
BAC_SMA_5,Technical
BAC_SMA_10,Technical
BAC_SMA_20,Technical
BAC_SMA_50,Technical
BAC_Price_vs_SMA20,Technical
BAC_Price_vs_SMA50,Technical
BAC_Momentum_1D,Technical
BAC_Momentum_5D,Technical
BAC_Momentum_10D,Technical
BAC_Momentum_20D,Technical
BAC_Vol_5D,Technical
BAC_Vol_10D,Technical
BAC_Vol_20D,Technical
BAC_Vol_60D,Technical
BAC_RSI,Technical
BAC_MACD,Technical
BAC_MACD_Signal,Technical
BAC_MACD_Histogram,Technical
BAC_BB_Position,Technical
BAC_BB_Width,Technical
BAC_Volume_SMA_10,Technical
BAC_Volume_SMA_20,Technical
BAC_Volume_Ratio,Technical
BAC_Price_Channel,Technical
BAC_Relative_Strength,Technical
BK_SMA_5,Technical
BK_SMA_10,Technical
BK_SMA_20,Technical
BK_SMA_50,Technical
BK_Price_vs_SMA20,Technical
BK_Price_vs_SMA50,Technical
BK_Momentum_1D,Technical
BK_Momentum_5D,Technical
BK_Momentum_10D,Technical
BK_Momentum_20D,Technical
BK_Vol_5D,Technical
BK_Vol_10D,Technical
BK_Vol_20D,Technical
BK_Vol_60D,Technical
BK_RSI,Technical
BK_MACD,Technical
BK_MACD_Signal,Technical
BK_MACD_Histogram,Technical
BK_BB_Position,Technical
BK_BB_Width,Technical
BK_Volume_SMA_10,Technical
BK_Volume_SMA_20,Technical
BK_Volume_Ratio,Technical
BK_Price_Channel,Technical
BK_Relative_Strength,Technical
C_SMA_5,Technical
C_SMA_10,Technical
C_SMA_20,Technical
C_SMA_50,Technical
C_Price_vs_SMA20,Technical
C_Price_vs_SMA50,Technical
C_Momentum_1D,Technical
C_Momentum_5D,Technical
C_Momentum_10D,Technical
C_Momentum_20D,Technical
C_Vol_5D,Technical
C_Vol_10D,Technical
C_Vol_20D,Technical
C_Vol_60D,Technical
C_RSI,Technical
C_MACD,Technical
C_MACD_Signal,Technical
C_MACD_Histogram,Technical
C_BB_Position,Technical
C_BB_Width,Technical
C_Volume_SMA_10,Technical
C_Volume_SMA_20,Technical
C_Volume_Ratio,Technical
C_Price_Channel,Technical
