Stock,accuracy,f1,precision,recall,roc_auc,pr_auc
AXP,0.5,0.5703422053231939,0.5434782608695652,0.6,0.5025544554455446,0.5655860142974263
BAC,0.4889380530973451,0.5157232704402516,0.4880952380952381,0.5466666666666666,0.4657856093979442,0.4741784774879174
BK,0.5199115044247787,0.5928705440900562,0.5622775800711743,0.626984126984127,0.4910515873015873,0.5529372330265416
C,0.48451327433628316,0.5010706638115632,0.5021459227467812,0.5,0.49637340233670507,0.5231610164306655
CB,0.5243362831858407,0.5776031434184676,0.55893536121673,0.5975609756097561,0.5029402478490804,0.5397395980888728
COF,0.5022123893805309,0.5054945054945055,0.5111111111111111,0.5,0.4780650215432824,0.4868332688309715
GS,0.48451327433628316,0.5254582484725051,0.5180722891566265,0.5330578512396694,0.4888626524990161,0.5328849300896277
JPM,0.5663716814159292,0.6216216216216216,0.6192307692307693,0.624031007751938,0.5384600015983377,0.6133031842579293
MS,0.5243362831858407,0.5708582834331337,0.5478927203065134,0.5958333333333333,0.5439268867924529,0.5600638223767519
PNC,0.48672566371681414,0.5486381322957199,0.5127272727272727,0.5899581589958159,0.4654173296403245,0.5141541828906568
SCHW,0.5022123893805309,0.5283018867924528,0.5060240963855421,0.5526315789473685,0.4886043233082707,0.48824847816343653
STT,0.48451327433628316,0.5311871227364185,0.5136186770428015,0.55,0.45031446540880504,0.496882392553207
TFC,0.4911504424778761,0.5381526104417671,0.5075757575757576,0.5726495726495726,0.48580726103661886,0.5153232859655528
USB,0.5088495575221239,0.5,0.4889867841409692,0.511520737327189,0.49138150799097957,0.48737623508970485
WFC,0.45353982300884954,0.5089463220675944,0.48120300751879697,0.540084388185654,0.4420272789716416,0.5109991244692693
