model_key,parameter,value
AXP_direction_1D,n_estimators,300
AXP_direction_1D,min_samples_split,2
AXP_direction_1D,min_samples_leaf,10
AXP_direction_1D,max_features,log2
AXP_direction_1D,max_depth,5
BAC_direction_1D,n_estimators,100
BAC_direction_1D,min_samples_split,5
BAC_direction_1D,min_samples_leaf,1
BAC_direction_1D,max_features,sqrt
BAC_direction_1D,max_depth,20
BK_direction_1D,n_estimators,300
BK_direction_1D,min_samples_split,10
BK_direction_1D,min_samples_leaf,10
BK_direction_1D,max_features,log2
BK_direction_1D,max_depth,20
C_direction_1D,n_estimators,200
C_direction_1D,min_samples_split,5
C_direction_1D,min_samples_leaf,5
C_direction_1D,max_features,sqrt
C_direction_1D,max_depth,20
CB_direction_1D,n_estimators,300
CB_direction_1D,min_samples_split,2
CB_direction_1D,min_samples_leaf,1
CB_direction_1D,max_features,0.3
CB_direction_1D,max_depth,15
COF_direction_1D,n_estimators,100
COF_direction_1D,min_samples_split,20
COF_direction_1D,min_samples_leaf,2
COF_direction_1D,max_features,sqrt
COF_direction_1D,max_depth,10
GS_direction_1D,n_estimators,100
GS_direction_1D,min_samples_split,2
GS_direction_1D,min_samples_leaf,5
GS_direction_1D,max_features,log2
GS_direction_1D,max_depth,15
JPM_direction_1D,n_estimators,200
JPM_direction_1D,min_samples_split,10
JPM_direction_1D,min_samples_leaf,1
JPM_direction_1D,max_features,sqrt
JPM_direction_1D,max_depth,10
MS_direction_1D,n_estimators,300
MS_direction_1D,min_samples_split,2
MS_direction_1D,min_samples_leaf,1
MS_direction_1D,max_features,0.3
MS_direction_1D,max_depth,15
PNC_direction_1D,n_estimators,300
PNC_direction_1D,min_samples_split,5
PNC_direction_1D,min_samples_leaf,1
PNC_direction_1D,max_features,sqrt
PNC_direction_1D,max_depth,20
SCHW_direction_1D,n_estimators,300
SCHW_direction_1D,min_samples_split,20
SCHW_direction_1D,min_samples_leaf,1
SCHW_direction_1D,max_features,0.3
SCHW_direction_1D,max_depth,10
STT_direction_1D,n_estimators,100
STT_direction_1D,min_samples_split,5
STT_direction_1D,min_samples_leaf,1
STT_direction_1D,max_features,sqrt
STT_direction_1D,max_depth,20
TFC_direction_1D,n_estimators,100
TFC_direction_1D,min_samples_split,2
TFC_direction_1D,min_samples_leaf,2
TFC_direction_1D,max_features,sqrt
TFC_direction_1D,max_depth,10
USB_direction_1D,n_estimators,300
USB_direction_1D,min_samples_split,20
USB_direction_1D,min_samples_leaf,10
USB_direction_1D,max_features,sqrt
USB_direction_1D,max_depth,15
WFC_direction_1D,n_estimators,300
WFC_direction_1D,min_samples_split,10
WFC_direction_1D,min_samples_leaf,2
WFC_direction_1D,max_features,sqrt
WFC_direction_1D,max_depth,10
