Stock,accuracy,f1,precision,recall,roc_auc,pr_auc
AXP,0.5420353982300885,0.6858877086494689,0.5525672371638142,0.904,0.47915841584158414,0.5343288579295772
BAC,0.49336283185840707,0.6264274061990212,0.4948453608247423,0.8533333333333334,0.47590797846304456,0.48155301126678957
BK,0.5508849557522124,0.6983655274888558,0.5581947743467933,0.9325396825396826,0.4997718253968254,0.5502132632886743
C,0.5176991150442478,0.6021897810218978,0.5254777070063694,0.7051282051282052,0.47107543323139656,0.500653932175258
CB,0.5287610619469026,0.689051094890511,0.5375854214123007,0.959349593495935,0.47927026600363093,0.5356172731313136
COF,0.4889380530973451,0.5497076023391813,0.49823321554770317,0.6130434782608696,0.4849099099099099,0.5133112357406744
GS,0.5088495575221239,0.6063829787234043,0.531055900621118,0.7066115702479339,0.5008559622195986,0.5363393225273463
JPM,0.5641592920353983,0.6537785588752196,0.5980707395498392,0.7209302325581395,0.548989051386558,0.6143072527797739
MS,0.5309734513274337,0.6863905325443787,0.5321100917431193,0.9666666666666667,0.4882566823899371,0.5094811544030368
PNC,0.5176991150442478,0.6572327044025157,0.5264483627204031,0.8744769874476988,0.4682361954151688,0.5259738584718577
SCHW,0.5,0.599290780141844,0.5029761904761905,0.7412280701754386,0.46021303258145363,0.46830839126979706
STT,0.504424778761062,0.6070175438596491,0.5242424242424243,0.7208333333333333,0.5002063679245283,0.5471986918931255
TFC,0.49336283185840707,0.6202321724709784,0.5067750677506775,0.7991452991452992,0.4719281737630362,0.48992672045637353
USB,0.48008849557522126,0.5656192236598891,0.4722222222222222,0.7050691244239631,0.4842827728208648,0.47380081227702975
WFC,0.4690265486725664,0.5121951219512195,0.49411764705882355,0.5316455696202531,0.487685212442351,0.5479302727349579
