Stock,accuracy,f1,precision,recall,roc_auc,pr_auc,optimal_threshold
AXP,0.5575221238938053,0.6904024767801857,0.5631313131313131,0.892,0.5130891089108911,0.5555866720602565,0.1
BAC,0.497787610619469,0.6210350584307178,0.49732620320855614,0.8266666666666667,0.54069505628977,0.5328129861475288,0.1
BK,0.5398230088495575,0.6645161290322581,0.5597826086956522,0.8174603174603174,0.5082539682539682,0.5576571464585361,0.1
C,0.5597345132743363,0.6655462184873949,0.5484764542936288,0.8461538461538461,0.5279150003920645,0.5193141927472669,0.1
CB,0.5154867256637168,0.6025408348457351,0.5442622950819672,0.6747967479674797,0.4866603520404137,0.5251516594108513,0.1
COF,0.504424778761062,0.6014234875444839,0.5090361445783133,0.7347826086956522,0.47974931453192327,0.5016199938052223,0.1
GS,0.5442477876106194,0.6943620178041543,0.5416666666666666,0.9669421487603306,0.5172569854388036,0.5425460006614992,0.1
JPM,0.5176991150442478,0.6134751773049646,0.565359477124183,0.6705426356589147,0.5141253096779349,0.5909342385759627,0.1
MS,0.5464601769911505,0.6434782608695652,0.5522388059701493,0.7708333333333334,0.5143867924528303,0.5379244783506476,0.1
PNC,0.5088495575221239,0.62751677852349,0.5238095238095238,0.7824267782426778,0.49506944035201444,0.5141133803571618,0.1
SCHW,0.5154867256637168,0.6755555555555556,0.5100671140939598,1.0,0.45776550751879697,0.46108144241175575,0.1
STT,0.5464601769911505,0.6953937592867756,0.5404157043879908,0.975,0.5493612421383649,0.5525180660398864,0.25
TFC,0.5110619469026548,0.640650406504065,0.5170603674540682,0.8418803418803419,0.5029796910530855,0.5148207441405533,0.1
USB,0.48008849557522126,0.6433990895295902,0.4796380090497738,0.9769585253456221,0.4997058535150504,0.47926611794773166,0.1
WFC,0.4889380530973451,0.6104553119730185,0.5084269662921348,0.7637130801687764,0.486095574526543,0.5287370863163453,0.1
